epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4756,1.26533,3.31727,1.66099,0.70567,0.62701,0.72179,0.48416,1.23267,3.35305,1.94275,0.00028339,0.00028339,0.00028339
2,79.9242,0.95567,1.27858,1.35296,0.17407,0.61272,0.17158,0.10925,1.10318,9.318,1.77267,0.000571898,0.000571898,0.000571898
3,109.984,0.98036,1.1558,1.38282,0.52004,0.54535,0.46493,0.2682,1.80035,3.04258,2.71695,0.000848523,0.000848523,0.000848523
4,140.829,0.9754,0.98019,1.36011,0.02212,0.49273,0.02004,0.01096,1.98539,78.5579,2.66838,0.00111327,0.00111327,0.00111327
5,170.798,1.01274,0.92207,1.35108,0.2826,0.44135,0.32322,0.1439,2.25168,4.88811,3.98545,0.00136613,0.00136613,0.00136613
6,201.224,1.1116,1.00884,1.38564,0.56612,0.65642,0.64208,0.40571,1.34214,4.84222,2.25595,0.00150197,0.00150197,0.00150197
7,229.782,1.04461,0.91975,1.39778,0.4594,0.5532,0.52361,0.2884,1.76782,7.17223,2.74685,0.00146896,0.00146896,0.00146896
8,258.997,1.02234,0.88262,1.34394,0.77841,0.66566,0.85377,0.57695,1.18539,2.14788,1.89721,0.00143595,0.00143595,0.00143595
9,290.238,0.94302,0.81998,1.285,0.54214,0.65174,0.57742,0.42164,1.35229,2.04658,1.96233,0.00140295,0.00140295,0.00140295
10,321.412,0.99057,0.82296,1.34719,0.73802,0.79901,0.8203,0.54624,1.18078,1.65987,1.88447,0.00136994,0.00136994,0.00136994
11,351.933,0.95284,0.86461,1.31166,0.53384,0.61256,0.56537,0.38675,1.30188,3.49775,1.98164,0.00133693,0.00133693,0.00133693
12,383.024,0.89657,0.78249,1.26332,0.8802,0.77762,0.86269,0.53123,1.25506,1.57451,1.97334,0.00130393,0.00130393,0.00130393
13,412.827,0.94285,0.80273,1.32392,0.64565,0.85179,0.74305,0.54062,1.11996,1.26222,1.73123,0.00127092,0.00127092,0.00127092
14,443.217,0.89596,0.73406,1.2501,0.8475,0.82672,0.86075,0.58248,1.11804,0.92289,1.70401,0.00123791,0.00123791,0.00123791
15,475.02,0.79533,0.66895,1.1908,0.88538,0.875,0.87821,0.64316,1.05812,1.10412,1.63534,0.00120491,0.00120491,0.00120491
16,506.476,0.81344,0.68757,1.19612,0.78485,0.86192,0.86663,0.65187,0.97158,0.98072,1.49367,0.0011719,0.0011719,0.0011719
17,537.763,0.7733,0.68974,1.18762,0.95163,0.85508,0.93605,0.7057,0.96608,0.84117,1.58877,0.00113889,0.00113889,0.00113889
18,568.582,0.79235,0.64315,1.20277,0.89689,0.8105,0.89876,0.71819,0.85456,0.7258,1.43387,0.00110589,0.00110589,0.00110589
19,599.379,0.7906,0.64166,1.18313,0.86696,0.86897,0.92348,0.68222,0.97647,0.85414,1.57631,0.00107288,0.00107288,0.00107288
20,630.845,0.788,0.65057,1.18677,0.87606,0.84931,0.91546,0.63623,1.11462,1.00803,1.74388,0.00103987,0.00103987,0.00103987
21,662.218,0.80898,0.67277,1.21521,0.95146,0.8625,0.94846,0.73591,0.88648,0.6864,1.48765,0.00100687,0.00100687,0.00100687
22,693.025,0.76491,0.61248,1.20241,0.92938,0.81269,0.90167,0.67458,0.99583,0.73731,1.51354,0.000973861,0.000973861,0.000973861
23,723.86,0.73969,0.596,1.15701,0.82097,0.925,0.90579,0.70388,0.86503,0.69349,1.39509,0.000940855,0.000940855,0.000940855
24,754.216,0.67504,0.56898,1.11674,0.89579,0.95,0.91508,0.70673,0.85291,0.65219,1.44817,0.000907848,0.000907848,0.000907848
25,785.576,0.71396,0.57589,1.15645,0.87173,0.94623,0.91487,0.70565,0.83035,0.70821,1.42312,0.000874842,0.000874842,0.000874842
26,816.829,0.67759,0.55282,1.12517,0.92398,0.9,0.93733,0.73624,0.81065,0.72592,1.37356,0.000841835,0.000841835,0.000841835
27,847.806,0.66988,0.52893,1.10039,0.83173,0.9625,0.95361,0.69757,0.90768,0.69413,1.43911,0.000808828,0.000808828,0.000808828
28,879.056,0.70992,0.56143,1.17991,0.94368,0.88683,0.96849,0.71674,0.96668,0.67307,1.51404,0.000775822,0.000775822,0.000775822
29,910.659,0.67925,0.51738,1.14275,0.9185,0.91609,0.96609,0.7352,0.89727,0.63503,1.40695,0.000742815,0.000742815,0.000742815
30,941.566,0.64326,0.51007,1.10389,0.89446,0.94154,0.9681,0.75989,0.82137,0.6294,1.37722,0.000709809,0.000709809,0.000709809
31,972.697,0.65461,0.50879,1.10822,0.96546,0.91337,0.97006,0.77614,0.74874,0.56341,1.29755,0.000676802,0.000676802,0.000676802
32,1003.44,0.64571,0.50102,1.12281,0.9236,0.91337,0.96772,0.76842,0.76399,0.5619,1.32858,0.000643795,0.000643795,0.000643795
33,1035.15,0.60597,0.48176,1.09312,0.91259,0.9125,0.9428,0.77253,0.76617,0.56132,1.32527,0.000610789,0.000610789,0.000610789
34,1066.52,0.63021,0.46614,1.08567,0.90998,0.96043,0.96208,0.76738,0.74622,0.56357,1.30822,0.000577782,0.000577782,0.000577782
35,1097.55,0.6394,0.49105,1.10658,0.91918,0.89909,0.96092,0.77218,0.74045,0.55962,1.27471,0.000544776,0.000544776,0.000544776
36,1129.48,0.58625,0.4594,1.05938,0.88805,0.95,0.95884,0.76262,0.75893,0.56996,1.27513,0.000511769,0.000511769,0.000511769
37,1161.17,0.61071,0.47623,1.10308,0.90457,0.98247,0.96216,0.76689,0.74904,0.52867,1.28087,0.000478762,0.000478762,0.000478762
38,1192.44,0.59264,0.45715,1.06985,0.90562,0.9125,0.94321,0.78266,0.74224,0.55287,1.27445,0.000445756,0.000445756,0.000445756
39,1223.61,0.59285,0.45425,1.08811,0.88601,0.90772,0.9276,0.78048,0.69497,0.57223,1.23918,0.000412749,0.000412749,0.000412749
40,1255.75,0.58671,0.46267,1.07052,0.9119,0.93487,0.95184,0.79187,0.7105,0.53219,1.28777,0.000379743,0.000379743,0.000379743
41,1286.77,0.50967,0.44246,1.07742,0.91815,0.93644,0.93873,0.79114,0.71467,0.54874,1.30185,0.000346736,0.000346736,0.000346736
42,1316.72,0.49725,0.40501,1.0382,0.88867,0.93699,0.92525,0.78916,0.68239,0.48806,1.29289,0.000313729,0.000313729,0.000313729
43,1347.16,0.47623,0.36548,1.04057,0.92188,0.925,0.95717,0.79719,0.681,0.50734,1.26258,0.000280723,0.000280723,0.000280723
44,1377.81,0.47159,0.34561,1.02604,0.91141,0.9375,0.95502,0.79733,0.66881,0.50582,1.22274,0.000247716,0.000247716,0.000247716
45,1408.35,0.44679,0.3231,1.01225,0.92206,0.93956,0.97501,0.79962,0.66108,0.48332,1.21792,0.00021471,0.00021471,0.00021471
46,1438.45,0.45216,0.33296,1.0215,0.89395,0.96728,0.97434,0.80448,0.65469,0.47172,1.19948,0.000181703,0.000181703,0.000181703
47,1467.96,0.4292,0.3254,0.97009,0.98699,0.9,0.97691,0.80944,0.65418,0.49491,1.19647,0.000148696,0.000148696,0.000148696
48,1498.4,0.40277,0.30326,0.96809,0.95427,0.91531,0.97492,0.81394,0.65803,0.5075,1.19834,0.00011569,0.00011569,0.00011569
49,1528.63,0.37904,0.28761,0.94147,0.95568,0.9289,0.97373,0.81393,0.64998,0.4998,1.2015,8.26832e-05,8.26832e-05,8.26832e-05
50,1558.08,0.385,0.28847,0.96642,0.94363,0.95,0.96968,0.82121,0.65279,0.50284,1.22297,4.96766e-05,4.96766e-05,4.96766e-05
